epoch: 0	train ppl: 3090.87914848	val ppl: 2233.30197797	best val: 2233.30197797	time (s) spent in epoch: 3.795905828475952
epoch: 1	train ppl: 1424.05572226	val ppl: 1676.3540198	best val: 1676.3540198	time (s) spent in epoch: 3.3180201053619385
epoch: 2	train ppl: 1075.18905379	val ppl: 1215.48691457	best val: 1215.48691457	time (s) spent in epoch: 3.7141928672790527
epoch: 3	train ppl: 908.329554885	val ppl: 1294.8548822	best val: 1215.48691457	time (s) spent in epoch: 3.4750027656555176
epoch: 4	train ppl: 849.510593714	val ppl: 1151.42946264	best val: 1151.42946264	time (s) spent in epoch: 3.400222063064575
epoch: 5	train ppl: 789.553269784	val ppl: 1205.2604343	best val: 1151.42946264	time (s) spent in epoch: 3.640354871749878
epoch: 6	train ppl: 729.801852848	val ppl: 1167.60041412	best val: 1151.42946264	time (s) spent in epoch: 3.452274799346924
epoch: 7	train ppl: 718.296838224	val ppl: 1116.47049728	best val: 1116.47049728	time (s) spent in epoch: 3.310514211654663
epoch: 8	train ppl: 682.614865079	val ppl: 1143.87043429	best val: 1116.47049728	time (s) spent in epoch: 3.2764408588409424
epoch: 9	train ppl: 677.678678207	val ppl: 1150.02641175	best val: 1116.47049728	time (s) spent in epoch: 3.283486843109131
epoch: 10	train ppl: 656.871942655	val ppl: 1142.27613458	best val: 1116.47049728	time (s) spent in epoch: 3.1536989212036133
epoch: 11	train ppl: 648.131499761	val ppl: 1146.06848461	best val: 1116.47049728	time (s) spent in epoch: 3.32297420501709
epoch: 12	train ppl: 635.135707709	val ppl: 1159.74773914	best val: 1116.47049728	time (s) spent in epoch: 3.547581911087036
epoch: 13	train ppl: 622.654128559	val ppl: 1189.14613069	best val: 1116.47049728	time (s) spent in epoch: 3.4733798503875732
epoch: 14	train ppl: 618.289434017	val ppl: 1210.86365163	best val: 1116.47049728	time (s) spent in epoch: 3.441357135772705
epoch: 15	train ppl: 587.6316675	val ppl: 1196.08575705	best val: 1116.47049728	time (s) spent in epoch: 3.674528121948242
epoch: 16	train ppl: 544.358141778	val ppl: 1237.71737029	best val: 1116.47049728	time (s) spent in epoch: 3.2670016288757324
epoch: 17	train ppl: 527.801223023	val ppl: 1260.44155207	best val: 1116.47049728	time (s) spent in epoch: 3.4788601398468018
epoch: 18	train ppl: 512.030213351	val ppl: 1268.54648218	best val: 1116.47049728	time (s) spent in epoch: 3.543349027633667
epoch: 19	train ppl: 505.528593814	val ppl: 1279.97198213	best val: 1116.47049728	time (s) spent in epoch: 4.020159006118774
epoch: 20	train ppl: 504.006115983	val ppl: 1283.72494994	best val: 1116.47049728	time (s) spent in epoch: 3.6383912563323975
epoch: 21	train ppl: 503.433703313	val ppl: 1285.07111208	best val: 1116.47049728	time (s) spent in epoch: 3.9707608222961426
epoch: 22	train ppl: 503.760439636	val ppl: 1285.59452393	best val: 1116.47049728	time (s) spent in epoch: 3.5219380855560303
epoch: 23	train ppl: 501.441556251	val ppl: 1285.66808834	best val: 1116.47049728	time (s) spent in epoch: 3.421800136566162
epoch: 24	train ppl: 501.492078471	val ppl: 1285.68586704	best val: 1116.47049728	time (s) spent in epoch: 3.877596855163574
epoch: 25	train ppl: 501.927347316	val ppl: 1285.70180677	best val: 1116.47049728	time (s) spent in epoch: 3.6256468296051025
epoch: 26	train ppl: 502.088464477	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.657947301864624
epoch: 27	train ppl: 504.718094771	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.7165751457214355
epoch: 28	train ppl: 504.154128781	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.6711339950561523
epoch: 29	train ppl: 501.252800547	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.621980905532837
epoch: 30	train ppl: 502.392099554	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.3503661155700684
epoch: 31	train ppl: 502.249325438	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.6756153106689453
epoch: 32	train ppl: 499.877685124	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.443282127380371
epoch: 33	train ppl: 502.47752679	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.4270808696746826
epoch: 34	train ppl: 502.984125159	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.8047688007354736
epoch: 35	train ppl: 501.841347005	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.875983238220215
epoch: 36	train ppl: 501.980585662	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.41340708732605
epoch: 37	train ppl: 501.918833808	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.5428950786590576
epoch: 38	train ppl: 501.261883235	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.4959051609039307
epoch: 39	train ppl: 501.806103272	val ppl: 1285.70058063	best val: 1116.47049728	time (s) spent in epoch: 3.1577060222625732
