epoch: 0	train ppl: 5440.93814061	val ppl: 2630.57204156	best val: 2630.57204156	time (s) spent in epoch: 3.0401651859283447
epoch: 1	train ppl: 4073.33868285	val ppl: 2546.90020724	best val: 2546.90020724	time (s) spent in epoch: 2.903439998626709
epoch: 2	train ppl: 2438.96905697	val ppl: 1999.21642891	best val: 1999.21642891	time (s) spent in epoch: 2.9237351417541504
epoch: 3	train ppl: 2006.65255513	val ppl: 2566.88803299	best val: 1999.21642891	time (s) spent in epoch: 2.909209728240967
epoch: 4	train ppl: 1687.71803973	val ppl: 1867.9192236	best val: 1867.9192236	time (s) spent in epoch: 2.8928709030151367
epoch: 5	train ppl: 1651.70253198	val ppl: 2308.91845481	best val: 1867.9192236	time (s) spent in epoch: 2.9682669639587402
epoch: 6	train ppl: 1554.91321133	val ppl: 1611.81568492	best val: 1611.81568492	time (s) spent in epoch: 2.702275037765503
epoch: 7	train ppl: 1334.44334278	val ppl: 2003.96568525	best val: 1611.81568492	time (s) spent in epoch: 2.632967948913574
epoch: 8	train ppl: 1254.87798302	val ppl: 2298.82369894	best val: 1611.81568492	time (s) spent in epoch: 2.7190420627593994
epoch: 9	train ppl: 1365.29980922	val ppl: 1443.67973444	best val: 1443.67973444	time (s) spent in epoch: 2.6143798828125
epoch: 10	train ppl: 1234.24897305	val ppl: 1470.8051829	best val: 1443.67973444	time (s) spent in epoch: 2.554090976715088
epoch: 11	train ppl: 1025.74648485	val ppl: 1933.60707154	best val: 1443.67973444	time (s) spent in epoch: 2.6693801879882812
epoch: 12	train ppl: 981.739160897	val ppl: 1319.0569859	best val: 1319.0569859	time (s) spent in epoch: 2.8187758922576904
epoch: 13	train ppl: 867.924975525	val ppl: 1274.36916915	best val: 1274.36916915	time (s) spent in epoch: 3.7097318172454834
epoch: 14	train ppl: 735.533024796	val ppl: 1258.47833066	best val: 1258.47833066	time (s) spent in epoch: 3.3595738410949707
epoch: 15	train ppl: 749.547897663	val ppl: 1396.6246771	best val: 1258.47833066	time (s) spent in epoch: 3.090890884399414
epoch: 16	train ppl: 672.056714944	val ppl: 1402.21393364	best val: 1258.47833066	time (s) spent in epoch: 2.7866787910461426
epoch: 17	train ppl: 619.054932049	val ppl: 1242.40169452	best val: 1242.40169452	time (s) spent in epoch: 2.856189012527466
epoch: 18	train ppl: 568.639712275	val ppl: 1248.64845454	best val: 1242.40169452	time (s) spent in epoch: 2.899272918701172
epoch: 19	train ppl: 553.575441346	val ppl: 1246.14967443	best val: 1242.40169452	time (s) spent in epoch: 3.0508320331573486
epoch: 20	train ppl: 550.658680571	val ppl: 1244.48877557	best val: 1242.40169452	time (s) spent in epoch: 2.8411262035369873
epoch: 21	train ppl: 532.704288969	val ppl: 1246.18651602	best val: 1242.40169452	time (s) spent in epoch: 2.729675054550171
epoch: 22	train ppl: 540.874372961	val ppl: 1246.14016709	best val: 1242.40169452	time (s) spent in epoch: 2.7671871185302734
epoch: 23	train ppl: 536.397977368	val ppl: 1246.80407192	best val: 1242.40169452	time (s) spent in epoch: 2.703235149383545
epoch: 24	train ppl: 538.977745777	val ppl: 1246.77612967	best val: 1242.40169452	time (s) spent in epoch: 2.816710948944092
epoch: 25	train ppl: 539.736902472	val ppl: 1246.78385832	best val: 1242.40169452	time (s) spent in epoch: 2.561129093170166
epoch: 26	train ppl: 540.28765369	val ppl: 1246.78980346	best val: 1242.40169452	time (s) spent in epoch: 2.5987548828125
epoch: 27	train ppl: 535.680480411	val ppl: 1246.79158701	best val: 1242.40169452	time (s) spent in epoch: 2.7931430339813232
epoch: 28	train ppl: 542.478084354	val ppl: 1246.79039797	best val: 1242.40169452	time (s) spent in epoch: 2.9290611743927
epoch: 29	train ppl: 537.090055939	val ppl: 1246.79039797	best val: 1242.40169452	time (s) spent in epoch: 2.826007843017578
epoch: 30	train ppl: 540.466827718	val ppl: 1246.79039797	best val: 1242.40169452	time (s) spent in epoch: 2.724928140640259
epoch: 31	train ppl: 536.808780535	val ppl: 1246.79039797	best val: 1242.40169452	time (s) spent in epoch: 3.316837787628174
epoch: 32	train ppl: 538.654567614	val ppl: 1246.79039797	best val: 1242.40169452	time (s) spent in epoch: 2.7667977809906006
epoch: 33	train ppl: 538.07954795	val ppl: 1246.79039797	best val: 1242.40169452	time (s) spent in epoch: 2.6733381748199463
epoch: 34	train ppl: 540.375015463	val ppl: 1246.79039797	best val: 1242.40169452	time (s) spent in epoch: 2.6453070640563965
